,number,species,lon,lat
37,AMCC267478,Agkistrodon contortrix,-84.477169,31.221356
38,AMCC267479,Agkistrodon contortrix,-84.477169,31.221356
3910,AMCC267480,Agkistrodon contortrix,-84.477169,31.221356
4010,AMCC267481,Agkistrodon contortrix,-84.477169,31.221356
4110,AMCC267482,Agkistrodon contortrix,-84.477169,31.221356
43,AMCC267483,Agkistrodon contortrix,-84.477169,31.221356
4410,AMCC267484,Agkistrodon contortrix,-84.477169,31.221356
45,AMCC267485,Agkistrodon contortrix,-84.477169,31.221356
4610,AMCC267486,Agkistrodon contortrix,-84.477169,31.221356
4710,AMCC267487,Agkistrodon contortrix,-84.477169,31.221356
48,AMCC267488,Agkistrodon contortrix,-83.4167,34.55
4910,AMCC267489,Agkistrodon contortrix,-83.22794,33.65102
5010,AMCC267490,Agkistrodon contortrix,-78.29186,37.17111
5110,AMCC267491,Agkistrodon contortrix,-85.709687,33.801737
52,AMCC267492,Agkistrodon contortrix,-85.572032,33.848565
5310,AMCC267493,Agkistrodon contortrix,-85.774323,33.396181
5410,AMCC267497,Agkistrodon contortrix,-88.62051,37.46925
55,AMCC267498,Agkistrodon contortrix,-83.82083,37.86079
5610,AMCC267499,Agkistrodon contortrix,-83.703799,37.796881
5710,AMCC267500,Agkistrodon contortrix,-83.703799,37.796881
5810,AMCC267501,Agkistrodon contortrix,-83.703799,37.796881
59,AMCC267502,Agkistrodon contortrix,-84.855573,39.209519
60,AMCC267503,Agkistrodon contortrix,-84.898948,30.505896
61,AMCC267504,Agkistrodon contortrix,-84.898948,30.505896
62,AMCC267505,Agkistrodon contortrix,-84.898948,30.505896
6310,AMCC267506,Agkistrodon contortrix,-81.072675,32.280276
64,AMCC267507,Agkistrodon contortrix,-81.072675,32.280276
65,AMCC267508,Agkistrodon contortrix,-87.908402,36.81765
66,AMCC267509,Agkistrodon contortrix,-87.908402,36.81765
6710,AMCC267510,Agkistrodon contortrix,-86.96673,34.65011
6810,AMCC267511,Agkistrodon contortrix,-89.31689,34.56675
699,AMCC267512,Agkistrodon contortrix,-84.96384,30.90462
70,AMCC267513,Agkistrodon contortrix,-77.01516,34.74878
